Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.91,0.31,0.257767015
100% Corpus,4,0.91,0.61,0.261202558
100% Corpus,4,0.91,0.91,0.260971588
100% Corpus,4,0.91,symmetric,0.255647289
100% Corpus,4,symmetric,0.01,0.276761929
100% Corpus,4,symmetric,0.31,0.272145654
100% Corpus,4,symmetric,0.61,0.25234052
100% Corpus,4,symmetric,0.91,0.274090166
100% Corpus,4,symmetric,symmetric,0.276490013
100% Corpus,4,asymmetric,0.01,0.261988713
100% Corpus,4,asymmetric,0.31,0.277540004
100% Corpus,4,asymmetric,0.61,0.260910941
100% Corpus,4,asymmetric,0.91,0.26358727
100% Corpus,4,asymmetric,symmetric,0.274048693
100% Corpus,5,0.01,0.01,0.267959749
100% Corpus,5,0.01,0.31,0.282433461
100% Corpus,5,0.01,0.61,0.268125571
100% Corpus,5,0.01,0.91,0.260692486
100% Corpus,5,0.01,symmetric,0.26434184
100% Corpus,5,0.31,0.01,0.250311215
100% Corpus,5,0.31,0.31,0.267879467
100% Corpus,5,0.31,0.61,0.2759451
100% Corpus,5,0.31,0.91,0.28068634
100% Corpus,5,0.31,symmetric,0.285267787
100% Corpus,5,0.61,0.01,0.254349484
100% Corpus,5,0.61,0.31,0.258476238
100% Corpus,5,0.61,0.61,0.260554962
100% Corpus,5,0.61,0.91,0.265060054
100% Corpus,5,0.61,symmetric,0.276803529
100% Corpus,5,0.91,0.01,0.250409703
100% Corpus,5,0.91,0.31,0.263797868
100% Corpus,5,0.91,0.61,0.25810906
100% Corpus,5,0.91,0.91,0.262261581
100% Corpus,5,0.91,symmetric,0.259733862
100% Corpus,5,symmetric,0.01,0.250231507
100% Corpus,5,symmetric,0.31,0.289062662
100% Corpus,5,symmetric,0.61,0.290883618
100% Corpus,5,symmetric,0.91,0.265174159
100% Corpus,5,symmetric,symmetric,0.267476063
100% Corpus,5,asymmetric,0.01,0.260666535
100% Corpus,5,asymmetric,0.31,0.268070311
100% Corpus,5,asymmetric,0.61,0.257646198
100% Corpus,5,asymmetric,0.91,0.255475393
100% Corpus,5,asymmetric,symmetric,0.259390384
100% Corpus,6,0.01,0.01,0.288950281
100% Corpus,6,0.01,0.31,0.260546543
100% Corpus,6,0.01,0.61,0.258869107
100% Corpus,6,0.01,0.91,0.256496709
100% Corpus,6,0.01,symmetric,0.267914073
100% Corpus,6,0.31,0.01,0.278826374
100% Corpus,6,0.31,0.31,0.264633418
100% Corpus,6,0.31,0.61,0.273463507
100% Corpus,6,0.31,0.91,0.263053957
100% Corpus,6,0.31,symmetric,0.274613457
100% Corpus,6,0.61,0.01,0.275385808
100% Corpus,6,0.61,0.31,0.27549891
100% Corpus,6,0.61,0.61,0.2568256
100% Corpus,6,0.61,0.91,0.264728926
100% Corpus,6,0.61,symmetric,0.254458083
100% Corpus,6,0.91,0.01,0.283381601
100% Corpus,6,0.91,0.31,0.266514476
100% Corpus,6,0.91,0.61,0.283799905
100% Corpus,6,0.91,0.91,0.27742111
100% Corpus,6,0.91,symmetric,0.253433611
100% Corpus,6,symmetric,0.01,0.269519439
100% Corpus,6,symmetric,0.31,0.26053571
100% Corpus,6,symmetric,0.61,0.279276471
100% Corpus,6,symmetric,0.91,0.270171513
100% Corpus,6,symmetric,symmetric,0.271929075
100% Corpus,6,asymmetric,0.01,0.304545853
100% Corpus,6,asymmetric,0.31,0.268792779
100% Corpus,6,asymmetric,0.61,0.263161347
100% Corpus,6,asymmetric,0.91,0.256282711
100% Corpus,6,asymmetric,symmetric,0.292219416
100% Corpus,7,0.01,0.01,0.266744209
100% Corpus,7,0.01,0.31,0.272977855
100% Corpus,7,0.01,0.61,0.272103584
100% Corpus,7,0.01,0.91,0.287943806
100% Corpus,7,0.01,symmetric,0.270877147
100% Corpus,7,0.31,0.01,0.263927727
100% Corpus,7,0.31,0.31,0.287788534
100% Corpus,7,0.31,0.61,0.27923469
100% Corpus,7,0.31,0.91,0.2573046
100% Corpus,7,0.31,symmetric,0.25774868
100% Corpus,7,0.61,0.01,0.253384435
100% Corpus,7,0.61,0.31,0.258793596
100% Corpus,7,0.61,0.61,0.265243014
100% Corpus,7,0.61,0.91,0.267308171
100% Corpus,7,0.61,symmetric,0.285805608
